id,uname,cname,ucas,duration,qualification,entry,created_at,updated_at,universities_id,ucasletters_id,url
1,The University of Aberdeen,Animal Behaviour,C349,4 Years,BSc (Hons),,2016-08-03 20:25:56.556110,2016-08-03 20:25:56.556110,,,
2,The University of Aberdeen,Anthropology,L600,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:56.582915,2016-08-03 20:25:56.582915,,,http://www.abdn.ac.uk/study/courses/undergraduate/L600/
3,The University of Aberdeen,Applied Mathematics,G120,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.596491,2016-08-03 20:25:56.596491,,,http://www.abdn.ac.uk/study/courses/undergraduate/G120/
4,The University of Aberdeen,Applied Mathematics,G122,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:56.608687,2016-08-03 20:25:56.608687,,,http://www.abdn.ac.uk/study/courses/undergraduate/G122/
5,The University of Aberdeen,Archaeology,F421,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:56.623728,2016-08-03 20:25:56.623728,,,http://www.abdn.ac.uk/study/courses/undergraduate/F421/
6,The University of Aberdeen,Archaeology,F420,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.636978,2016-08-03 20:25:56.636978,,,http://www.abdn.ac.uk/study/courses/undergraduate/F420/
7,The University of Aberdeen,Behavioural Biology,C859,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.718467,2016-08-03 20:25:56.718467,,,http://www.abdn.ac.uk/study/courses/undergraduate/science/behaviouralbiology/
8,The University of Aberdeen,Behavioural Studies,C803,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.731838,2016-08-03 20:25:56.731838,,,http://www.abdn.ac.uk/study/courses/undergraduate/C803/
9,The University of Aberdeen,Behavioural Studies,C801,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:56.744494,2016-08-03 20:25:56.744494,,,http://www.abdn.ac.uk/study/courses/undergraduate/C801/
10,The University of Aberdeen,Biochemistry,C700,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.758471,2016-08-03 20:25:56.758471,,,http://www.abdn.ac.uk/study/courses/undergraduate/C700/
11,The University of Aberdeen,Biochemistry with Industrial Placement,C701,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.770893,2016-08-03 20:25:56.770893,,,http://www.abdn.ac.uk/study/courses/undergraduate/C701/
12,The University of Aberdeen,Biological Sciences,C900,4 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.782908,2016-08-03 20:25:56.782908,,,http://www.abdn.ac.uk/study/courses/undergraduate/C900/
13,The University of Aberdeen,Biological Sciences,C901,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.796420,2016-08-03 20:25:56.796420,,,
14,The University of Aberdeen,Biology,C100,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.816334,2016-08-03 20:25:56.816334,,,http://www.abdn.ac.uk/study/courses/undergraduate/C100/
15,The University of Aberdeen,Biology with Science (PGDE - Graduates only),C1X1,1 Years,PGDE,,2016-08-03 20:25:56.840308,2016-08-03 20:25:56.840308,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary/
16,The University of Aberdeen,Biomedical Science (Anatomy),B9BC,4 Years,BSc (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.864878,2016-08-03 20:25:56.864878,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9BC/
17,The University of Aberdeen,Biomedical Science (Anatomy) with Industrial Placement,B9BD,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.877215,2016-08-03 20:25:56.877215,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9BD/
18,The University of Aberdeen,Biomedical Science (Developmental Biology),B9C1,4 Years,BSc (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.891341,2016-08-03 20:25:56.891341,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9C1/
19,The University of Aberdeen,Biomedical Science (Developmental Biology) with Industrial Placement,B9CC,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.909851,2016-08-03 20:25:56.909851,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9CC/
20,The University of Aberdeen,Biomedical Science (Molecular Biology),B9C7,4 Years,BSc (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.928171,2016-08-03 20:25:56.928171,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9C7/
21,The University of Aberdeen,Biomedical Science (Molecular Biology) with Industrial Placement,B9CR,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.943810,2016-08-03 20:25:56.943810,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9CR/
22,The University of Aberdeen,Biomedical Science (Pharmacology),B9B2,4 Years,BSc (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.958849,2016-08-03 20:25:56.958849,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9B2/
23,The University of Aberdeen,Biomedical Science (Pharmacology) with Industrial Placement,B9BF,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.972821,2016-08-03 20:25:56.972821,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9BF/
24,The University of Aberdeen,Biomedical Science (Physiology),B9B1,4 Years,BSc (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.987915,2016-08-03 20:25:56.987915,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9B1/
25,The University of Aberdeen,Biomedical Science (Physiology) with Industrial Placement,B9BA,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:57.000834,2016-08-03 20:25:57.000834,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9BA/
26,The University of Aberdeen,Biotechnology (Applied Molecular Biology),J700,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.019627,2016-08-03 20:25:57.019627,,,http://www.abdn.ac.uk/study/courses/undergraduate/J700/
27,The University of Aberdeen,Biotechnology (Applied Molecular Biology) with Industrial Placement,J701,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:57.043654,2016-08-03 20:25:57.043654,,,http://www.abdn.ac.uk/study/courses/undergraduate/J701/
28,The University of Aberdeen,Business Management,N200,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.062115,2016-08-03 20:25:57.062115,,,http://www.abdn.ac.uk/study/courses/undergraduate/N200/
29,The University of Aberdeen,Business Studies (PGDE - Graduates only),N1X1,1 Years,PGDE,,2016-08-03 20:25:57.074821,2016-08-03 20:25:57.074821,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary
30,The University of Aberdeen,Celtic and Anglo Saxon Studies,5Q28,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.087789,2016-08-03 20:25:57.087789,,,http://www.abdn.ac.uk/study/courses/undergraduaterts/celtic_anglo/
31,The University of Aberdeen,Chemical Engineering,H810,5 Years,MEng (Hons),ABB Typical offerAABB Typical offer,2016-08-03 20:25:57.100383,2016-08-03 20:25:57.100383,,,http://www.abdn.ac.uk/study/courses/undergraduate/H810/
32,The University of Aberdeen,Chemical Engineering,H813,4 Years,BEng (Hons),BBB Typical offerABBB Typical offer,2016-08-03 20:25:57.115039,2016-08-03 20:25:57.115039,,,http://www.abdn.ac.uk/study/courses/undergraduate/H813/
33,The University of Aberdeen,Chemistry,F105,5 Years,MChem (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:57.130926,2016-08-03 20:25:57.130926,,,http://www.abdn.ac.uk/study/courses/undergraduate/F105/
34,The University of Aberdeen,Chemistry,F100,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.144497,2016-08-03 20:25:57.144497,,,http://www.abdn.ac.uk/study/courses/undergraduate/F100/
35,The University of Aberdeen,Chemistry with Science (PGDE - Graduates only),F1X1,1 Years,PGDE,,2016-08-03 20:25:57.159916,2016-08-03 20:25:57.159916,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary/
36,The University of Aberdeen,Civil and Environmental Engineering,H255,5 Years,MEng (Hons),ABB Typical offerAABB Typical offer,2016-08-03 20:25:57.173218,2016-08-03 20:25:57.173218,,,http://www.abdn.ac.uk/study/courses/undergraduate/H255/
37,The University of Aberdeen,Civil and Structural Engineering,H225,5 Years,MEng (Hons),ABB Typical offerAABB Typical offer,2016-08-03 20:25:57.184304,2016-08-03 20:25:57.184304,,,http://www.abdn.ac.uk/study/courses/undergraduate/H225/
38,The University of Aberdeen,Civil Engineering,H205,5 Years,MEng (Hons),ABB Typical offerAABB Typical offer,2016-08-03 20:25:57.199148,2016-08-03 20:25:57.199148,,,http://www.abdn.ac.uk/study/courses/undergraduate/H205/
39,The University of Aberdeen,Computing,G402,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.217006,2016-08-03 20:25:57.217006,,,http://www.abdn.ac.uk/study/courses/undergraduate/G402/
40,The University of Aberdeen,Computing Science,I101,5 Years,MEng (Hons),ABB - AAB Typical offerABB Typical offerAAAB Typical offer,2016-08-03 20:25:57.232548,2016-08-03 20:25:57.232548,,,http://www.abdn.ac.uk/study/courses/undergraduate/I101/
41,The University of Aberdeen,Computing Science,G400,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.246805,2016-08-03 20:25:57.246805,,,http://www.abdn.ac.uk/study/courses/undergraduate/G400/
42,The University of Aberdeen,Computing Science with Industrial Placement,G401,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:57.260401,2016-08-03 20:25:57.260401,,,http://www.abdn.ac.uk/study/courses/undergraduate/G401/
43,The University of Aberdeen,Computing with Industrial Placement,G405,5 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.275138,2016-08-03 20:25:57.275138,,,http://www.abdn.ac.uk/study/courses/undergraduate/G405/
44,The University of Aberdeen,Dental Surgery (Graduates Only),A201,4 Years,BDS,,2016-08-03 20:25:57.287038,2016-08-03 20:25:57.287038,,,http://www.abdn.ac.uk/study/courses/undergraduate/medicine/dentistry/
45,The University of Aberdeen,Divinity,V600,4 Years,BD (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.299937,2016-08-03 20:25:57.299937,,,http://www.abdn.ac.uk/study/courses/undergraduate/V600/
46,The University of Aberdeen,Drama (PGDE - Graduates only),W4X1,1 Years,PGDE,,2016-08-03 20:25:57.312168,2016-08-03 20:25:57.312168,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary
47,The University of Aberdeen,Ecology,D430,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.324661,2016-08-03 20:25:57.324661,,,http://www.abdn.ac.uk/study/courses/undergraduate/D430/
48,The University of Aberdeen,Economics,L100,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.336413,2016-08-03 20:25:57.336413,,,http://www.abdn.ac.uk/study/courses/undergraduate/L100/
49,The University of Aberdeen,Electrical and Electronic Engineering,H605,5 Years,MEng (Hons),ABB Typical offerAABB Typical offer,2016-08-03 20:25:57.348805,2016-08-03 20:25:57.348805,,,http://www.abdn.ac.uk/study/courses/undergraduate/H605/
50,The University of Aberdeen,Engineering,H104,5 Years,MEng (Hons),ABB Typical offerAABB Typical offer,2016-08-03 20:25:57.360502,2016-08-03 20:25:57.360502,,,http://www.abdn.ac.uk/study/courses/undergraduate/H104/
51,The University of Aberdeen,Engineering,H100,4 Years,BEng (Hons),BBB Typical offerABBB Typical offer,2016-08-03 20:25:57.371855,2016-08-03 20:25:57.371855,,,http://www.abdn.ac.uk/study/courses/undergraduate/H100/
52,The University of Aberdeen,Engineering (Civil and Environmental),H220,4 Years,BEng (Hons),BBB Typical offerABBB Typical offer,2016-08-03 20:25:57.382601,2016-08-03 20:25:57.382601,,,http://www.abdn.ac.uk/study/courses/undergraduate/H220/
53,The University of Aberdeen,Engineering (Civil and Structural),H221,4 Years,BEng (Hons),BBB Typical offerABBB Typical offer,2016-08-03 20:25:57.394361,2016-08-03 20:25:57.394361,,,http://www.abdn.ac.uk/study/courses/undergraduate/H221/
54,The University of Aberdeen,Engineering (Civil),H200,4 Years,BEng (Hons),BBB Typical offerABBB Typical offer,2016-08-03 20:25:57.406531,2016-08-03 20:25:57.406531,,,http://www.abdn.ac.uk/study/courses/undergraduate/H200/
55,The University of Aberdeen,Engineering (Electrical & Electronic),H620,4 Years,BEng (Hons),BBB Typical offerABBB Typical offer,2016-08-03 20:25:57.419888,2016-08-03 20:25:57.419888,,,http://www.abdn.ac.uk/study/courses/undergraduate/H620/
56,The University of Aberdeen,Engineering (Mechanical),H300,4 Years,BEng (Hons),BBB Typical offerABBB Typical offer,2016-08-03 20:25:57.432713,2016-08-03 20:25:57.432713,,,http://www.abdn.ac.uk/study/courses/undergraduate/H300/
57,The University of Aberdeen,English,Q300,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.445074,2016-08-03 20:25:57.445074,,,http://www.abdn.ac.uk/study/courses/undergraduate/Q300/
58,The University of Aberdeen,English (PGDE - Graduates only),Q3X1,1 Years,PGDE,,2016-08-03 20:25:57.456850,2016-08-03 20:25:57.456850,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary
59,The University of Aberdeen,English and Scottish Literature,Q314,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.468579,2016-08-03 20:25:57.468579,,,http://www.abdn.ac.uk/study/courses/undergraduate/Q314/
60,The University of Aberdeen,Environmental and Forest Management,D520,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.479727,2016-08-03 20:25:57.479727,,,http://www.abdn.ac.uk/study/courses/undergraduate/D520/
61,The University of Aberdeen,Environmental Chemistry,F142,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.491177,2016-08-03 20:25:57.491177,,,http://www.abdn.ac.uk/study/courses/undergraduate/F142/
62,The University of Aberdeen,Environmental Chemistry,F143,5 Years,MChem (Hons),ABB Typical offerAAAB Typical offer,2016-08-03 20:25:57.502120,2016-08-03 20:25:57.502120,,,http://www.abdn.ac.uk/study/courses/undergraduate/F143/
63,The University of Aberdeen,Environmental Science,F900,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.514251,2016-08-03 20:25:57.514251,,,http://www.abdn.ac.uk/study/courses/undergraduate/F900/
64,The University of Aberdeen,Exercise and Health Science,C603,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.523499,2016-08-03 20:25:57.523499,,,http://www.abdn.ac.uk/study/courses/undergraduate/C603/
65,The University of Aberdeen,Exercise and Health Science with Industrial Placement,C601,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:57.534955,2016-08-03 20:25:57.534955,,,http://www.abdn.ac.uk/study/courses/undergraduate/C601/
66,The University of Aberdeen,Film and Visual Culture,W690,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.546567,2016-08-03 20:25:57.546567,,,http://www.abdn.ac.uk/study/courses/undergraduate/W690/
67,The University of Aberdeen,French (PGDE - Graduates only),R1X1,1 Years,PGDE,,2016-08-03 20:25:57.559240,2016-08-03 20:25:57.559240,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary
68,The University of Aberdeen,French Studies,R101,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.571359,2016-08-03 20:25:57.571359,,,http://www.abdn.ac.uk/study/courses/undergraduate/R101/
69,The University of Aberdeen,French Studies,R120,5 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.582544,2016-08-03 20:25:57.582544,,,http://www.abdn.ac.uk/study/courses/undergraduate/R120/
70,The University of Aberdeen,Gaelic Studies,Q530,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.591412,2016-08-03 20:25:57.591412,,,http://www.abdn.ac.uk/study/courses/undergraduate/Q530/
71,The University of Aberdeen,Genetics,C400,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.602084,2016-08-03 20:25:57.602084,,,http://www.abdn.ac.uk/study/courses/undergraduate/C400/
72,The University of Aberdeen,Genetics (Immunology),C450,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.611641,2016-08-03 20:25:57.611641,,,http://www.abdn.ac.uk/study/courses/undergraduate/C450/
73,The University of Aberdeen,Genetics (Immunology) with Industrial Placement,C451,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:57.624634,2016-08-03 20:25:57.624634,,,http://www.abdn.ac.uk/study/courses/undergraduate/C451/
74,The University of Aberdeen,Genetics with Industrial Placement,C401,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:57.636526,2016-08-03 20:25:57.636526,,,http://www.abdn.ac.uk/study/courses/undergraduate/C401/
75,The University of Aberdeen,Geography,L700,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.648551,2016-08-03 20:25:57.648551,,,http://www.abdn.ac.uk/study/courses/undergraduate/L700/
76,The University of Aberdeen,Geography,F800,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.659844,2016-08-03 20:25:57.659844,,,http://www.abdn.ac.uk/study/courses/undergraduate/F800/
77,The University of Aberdeen,Geography (PGDE - Graduates only),F8X1,1 Years,PGDE,,2016-08-03 20:25:57.671528,2016-08-03 20:25:57.671528,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary/
78,The University of Aberdeen,Geology,F600,5 Years,MGeol,ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:57.683565,2016-08-03 20:25:57.683565,,,http://www.abdn.ac.uk/study/courses/undergraduate/F600/
79,The University of Aberdeen,Geology and Petroleum Geology,F602,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.695502,2016-08-03 20:25:57.695502,,,http://www.abdn.ac.uk/study/courses/undergraduate/F602/
80,The University of Aberdeen,German (PGDE - Graduates only),R2X1,1 Years,PGDE,,2016-08-03 20:25:57.707718,2016-08-03 20:25:57.707718,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary
81,The University of Aberdeen,German Studies,R220,5 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.719873,2016-08-03 20:25:57.719873,,,http://www.abdn.ac.uk/study/courses/undergraduate/R220/
82,The University of Aberdeen,German Studies,R201,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.734831,2016-08-03 20:25:57.734831,,,http://www.abdn.ac.uk/study/courses/undergraduate/R201/
83,The University of Aberdeen,Hispanic Studies (Latin America),T711,5 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.747737,2016-08-03 20:25:57.747737,,,http://www.abdn.ac.uk/study/courses/undergraduate/T711/
84,The University of Aberdeen,Hispanic Studies (Latin America),T701,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.760068,2016-08-03 20:25:57.760068,,,http://www.abdn.ac.uk/study/courses/undergraduate/T701/
85,The University of Aberdeen,Hispanic Studies (Spain),R401,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.771734,2016-08-03 20:25:57.771734,,,http://www.abdn.ac.uk/study/courses/undergraduate/R401/
86,The University of Aberdeen,Hispanic Studies (Spain),R410,5 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.783872,2016-08-03 20:25:57.783872,,,http://www.abdn.ac.uk/study/courses/undergraduate/R410/
87,The University of Aberdeen,History,V100,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.795574,2016-08-03 20:25:57.795574,,,http://www.abdn.ac.uk/study/courses/undergraduate/V100/
88,The University of Aberdeen,History (PGDE - Graduates only),V1X1,1 Years,PGDE,,2016-08-03 20:25:57.807191,2016-08-03 20:25:57.807191,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary
89,The University of Aberdeen,History of Art,V350,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.820511,2016-08-03 20:25:57.820511,,,http://www.abdn.ac.uk/study/courses/undergraduate/V350/
90,The University of Aberdeen,Home Economics (PGDE - Graduates only),D6X1,1 Years,PGDE,,2016-08-03 20:25:57.835022,2016-08-03 20:25:57.835022,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary/
91,The University of Aberdeen,Immunology,C552,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:57.848421,2016-08-03 20:25:57.848421,,,http://www.abdn.ac.uk/study/courses/undergraduate/C552/
92,The University of Aberdeen,Immunology with Industrial Placement,C550,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:57.860349,2016-08-03 20:25:57.860349,,,http://www.abdn.ac.uk/study/courses/undergraduate/C550/
93,The University of Aberdeen,Language and Linguistics,Q190,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:57.871650,2016-08-03 20:25:57.871650,,,http://www.abdn.ac.uk/study/courses/undergraduate/Q190/
94,The University of Aberdeen,Law,M114,4 Years,LLB (Hons),ABB Typical offerABB Typical offerAABBB - AAAB Typical offer,2016-08-03 20:25:57.883532,2016-08-03 20:25:57.883532,,,http://www.abdn.ac.uk/study/courses/undergraduate/M114/
95,The University of Aberdeen,Law - Accelerated (Graduates only),M115,2 Years,LLB (Hons),,2016-08-03 20:25:57.895872,2016-08-03 20:25:57.895872,,,http://www.abdn.ac.uk/study/courses/undergraduate/law/law/
96,The University of Aberdeen,Law and European Legal Studies,M127,5 Years,LLB (Hons),ABB Typical offerABB Typical offerAABBB - AAAB Typical offer,2016-08-03 20:25:57.907942,2016-08-03 20:25:57.907942,,,http://www.abdn.ac.uk/study/courses/undergraduate/M127/
97,The University of Aberdeen,Law and French Law,M121,5 Years,LLB (Hons),ABB Typical offerABB Typical offerAABBB - AAAB Typical offer,2016-08-03 20:25:57.919577,2016-08-03 20:25:57.919577,,,http://www.abdn.ac.uk/study/courses/undergraduate/M121/
98,The University of Aberdeen,Law and German Law,M123,5 Years,LLB (Hons),ABB Typical offerABB Typical offerAABBB - AAAB Typical offer,2016-08-03 20:25:57.931638,2016-08-03 20:25:57.931638,,,http://www.abdn.ac.uk/study/courses/undergraduate/M123/
99,The University of Aberdeen,Law and Spanish Law,M126,5 Years,LLB (Hons),ABB Typical offerABB Typical offerAABBB - AAAB Typical offer,2016-08-03 20:25:57.945230,2016-08-03 20:25:57.945230,,,http://www.abdn.ac.uk/study/courses/undergraduate/M126/
100,The University of Aberdeen,Law with English Law - Accelerated (Graduates only),M116,2 Years,LLB,,2016-08-03 20:25:57.956392,2016-08-03 20:25:57.956392,,,
101,The University of Aberdeen,Law with options in Accountancy,M1N4,4 Years,LLB (Hons),ABB Typical offerABB Typical offerAABBB - AAAB Typical offer,2016-08-03 20:25:57.968032,2016-08-03 20:25:57.968032,,,http://www.abdn.ac.uk/study/courses/undergraduate/M1N4/
102,The University of Aberdeen,Law with options in Economics,M1L1,4 Years,LLB (Hons),ABB Typical offerABB Typical offerAABBB - AAAB Typical offer,2016-08-03 20:25:57.980558,2016-08-03 20:25:57.980558,,,http://www.abdn.ac.uk/study/courses/undergraduate/M1L1/
103,The University of Aberdeen,Law with options in French,M125,4 Years,LLB (Hons),ABB Typical offerABB Typical offerAABBB - AAAB Typical offer,2016-08-03 20:25:57.992641,2016-08-03 20:25:57.992641,,,http://www.abdn.ac.uk/study/courses/undergraduate/M125/
104,The University of Aberdeen,Law with options in Gaelic Language,M128,4 Years,LLB (Hons),ABB Typical offerABB Typical offerAABBB - AAAB Typical offer,2016-08-03 20:25:58.006859,2016-08-03 20:25:58.006859,,,http://www.abdn.ac.uk/study/courses/undergraduate/M128/
105,The University of Aberdeen,Law with options in German,M124,4 Years,LLB (Hons),ABB Typical offerABB Typical offerAABBB - AAAB Typical offer,2016-08-03 20:25:58.024515,2016-08-03 20:25:58.024515,,,http://www.abdn.ac.uk/study/courses/undergraduate/M124/
106,The University of Aberdeen,Law with options in Spanish,M122,4 Years,LLB (Hons),ABB Typical offerABB Typical offerAABBB - AAAB Typical offer,2016-08-03 20:25:58.040402,2016-08-03 20:25:58.040402,,,http://www.abdn.ac.uk/study/courses/undergraduate/M122/
107,The University of Aberdeen,Mandarin (PGDE - Graduates only),2D7T,1 Years,PGDE,,2016-08-03 20:25:58.052489,2016-08-03 20:25:58.052489,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary/
108,The University of Aberdeen,Marine Biology,C350,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:58.063955,2016-08-03 20:25:58.063955,,,http://www.abdn.ac.uk/study/courses/undergraduate/C350/
109,The University of Aberdeen,Mathematics,G100,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:58.075906,2016-08-03 20:25:58.075906,,,http://www.abdn.ac.uk/study/courses/undergraduate/G100/
110,The University of Aberdeen,Mathematics,G102,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:58.088255,2016-08-03 20:25:58.088255,,,http://www.abdn.ac.uk/study/courses/undergraduate/G102/
111,The University of Aberdeen,Mathematics (PGDE - Graduates only),G1X1,1 Years,PGDE,,2016-08-03 20:25:58.100423,2016-08-03 20:25:58.100423,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary/
112,The University of Aberdeen,Mechanical Engineering,H305,5 Years,MEng (Hons),ABB Typical offerAABB Typical offer,2016-08-03 20:25:58.112968,2016-08-03 20:25:58.112968,,,http://www.abdn.ac.uk/study/courses/undergraduate/H305/
113,The University of Aberdeen,Mechanical Engineering with Business Management,H3N2,5 Years,MEng (Hons),ABB Typical offerAABB Typical offer,2016-08-03 20:25:58.124310,2016-08-03 20:25:58.124310,,,http://www.abdn.ac.uk/study/courses/undergraduate/H3N2/
114,The University of Aberdeen,Mechanical Engineering with Subsea Technologies,H309,5 Years,MEng (Hons),ABB Typical offerAABB Typical offer,2016-08-03 20:25:58.136312,2016-08-03 20:25:58.136312,,,
