id,uname,cname,ucas,duration,qualification,entry,created_at,updated_at,universities_id,ucasletters_id,url
626,University of Dundee,European Studies and International Relations,LR28,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:04.987887,2016-08-03 20:26:04.987887,,,
627,University of Dundee,European Studies and Philosophy,RV85,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.000508,2016-08-03 20:26:05.000508,,,
628,University of Dundee,European Studies and Psychology,CR88,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.014478,2016-08-03 20:26:05.014478,,,
629,University of Dundee,European Studies with French,R801,4 Years,MA (Hons),,2016-08-03 20:26:05.031759,2016-08-03 20:26:05.031759,,,http://www.dundee.ac.uk/study/ug/european-studies/
630,University of Dundee,European Studies with German,R802,4 Years,MA (Hons),,2016-08-03 20:26:05.046345,2016-08-03 20:26:05.046345,,,http://www.dundee.ac.uk/study/ug/european-studies/
631,University of Dundee,European Studies with Spanish,R804,4 Years,MA (Hons),,2016-08-03 20:26:05.062679,2016-08-03 20:26:05.062679,,,http://www.dundee.ac.uk/study/ug/european-studies/
632,University of Dundee,Financial Economics with French,L1RC,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.074269,2016-08-03 20:26:05.074269,,,
633,University of Dundee,Financial Economics with German,L1RF,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.086518,2016-08-03 20:26:05.086518,,,
634,University of Dundee,Financial Economics with Spanish,L1RK,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.096701,2016-08-03 20:26:05.096701,,,
635,University of Dundee,Forensic Anthropology,FL46,4 Years,BSc (Hons),AAB Typical offerAABB Typical offer,2016-08-03 20:26:05.107690,2016-08-03 20:26:05.107690,,,
636,University of Dundee,Foundation Year in Business and English Language,3R9B,1 Years,CertHE,,2016-08-03 20:26:05.119756,2016-08-03 20:26:05.119756,,,
637,University of Dundee,Foundation Year in Engineering/Physics/Maths and English Language,Q331,1 Years,CertHE,,2016-08-03 20:26:05.131694,2016-08-03 20:26:05.131694,,,
638,University of Dundee,Foundation Year in Life Sciences and English,3Y5C,1 Years,CertHE,,2016-08-03 20:26:05.144376,2016-08-03 20:26:05.144376,,,http://www.dundee.ac.uk/undergraduate/courses/life_sciences_foundation_english.htm
639,University of Dundee,Foundation Year in Life Sciences for Dentistry and English Language,A4Q3,9 Months,CertHE,,2016-08-03 20:26:05.156754,2016-08-03 20:26:05.156754,,,
640,University of Dundee,Geography and Economics,3K9Z,4 Years,MA (Hons),,2016-08-03 20:26:05.168062,2016-08-03 20:26:05.168062,,,http://www.dundee.ac.uk/undergraduate/courses/geography.htm
641,University of Dundee,Geography and Environmental Science,LF77,4 Years,BSc (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.180065,2016-08-03 20:26:05.180065,,,
642,University of Dundee,Geography and History,LV71,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.192691,2016-08-03 20:26:05.192691,,,
643,University of Dundee,Geography and Planning,LK74,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.207529,2016-08-03 20:26:05.207529,,,
644,University of Dundee,Geography and Politics,LL72,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.237953,2016-08-03 20:26:05.237953,,,
645,University of Dundee,Geography and Psychology,CL87,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.251653,2016-08-03 20:26:05.251653,,,
