uname,uregion,ulogo
The University of Aberdeen,Northern,"data:image/jpeg;charset=utf-8;base64,R0lGODlhggAxAPf/AP///wgICBgYGCkpKTk5OUJCQkpKSlJSUlpaWmNjY2tra4yMjJycnKWlpcbGxs7OztbW1t7e3u/v7/f39+/n5/fv79bOzr21tbWtraWcnN7OztbGxlpSUrWlpefOzox7e71KSsYhIb1SSr0hGL0xIb05Ia1aQq1KIc6tjM6te++lGN7Wxr2tjFpSQqWEQntjMWtSIdalQuelIe+tIf+1GNa9hJR7Qpx7Me+9St6tQnNaIYxrIbWEGHtrQt69a86tWt61UtacELWECOfexmNaQrWUMffGQt6tKb21nP/vvYx7Qv/GCPfOQv/OIWtjOf/WGP/eGP//56WlhGNjQmtzMbW9hEpSGEpaAFJjEFJzALW9pUpzAEprEEprGEJjGDlaKTlrIcbOxiFSKTFSOd7v55y1rVp7c6Wtrb3GxoyUlISMjGtzc3uEhK29vbXGxr3OzlpjY5Slpc7n5ykxMTFCQggYGBhKShhKUpSlrVprc3uEjLXG1lprezlKWmtze2Nrc6W1xkJKUmt7jDFKYxA5YxgxUhApShhCewgxawg5ewApY1JzpQgpWnuUvSk5UilSlBApUggxcwAxhDlCUkprpTFSjCFKlBA5hAApc4SMnKW11mt7nEpaeyk5WlJaawAhawAphAAheyExY1JaeyExcwAYjK2ttZSUnDk5SlpalFIpSlIQOWtaY5SEjHNja+fW3msQOda9xlI5QrUpUntaY70pUowQMXsAIb0AMc6ttcalrXNSWsaElK1re5xaa4RCUsZje61KY3sYMa0hQr0YQpwQMbUIMc4AMee9xr1zhIxCUoQ5SnMpOa05UqUxSpQpQoQYMXsQKaUQMZwIKZwAIbUAKd4AMc6lrb2UnK2EjOeUpaVSY4w5SoQxQrVCWr1CWqUAIcYAKc4AKa17hOeMnM5zhJxCUowxQpQxQoQpOWMIGLUAIb0AIbWEjKVze2MxOVopMb1SY4QQIZwAGKVrc5xja5RSWoQ5QpQhMaU5QrUAEL0hKa0YIa0ACAAAAP///yH5BAEAAP8ALAAAAACCADEAQAj/AP/9GyewYEENuQwW1BVLoUB69to5nEixosWLGDNqpOhHksdIF6LUSLECgKBPH288kbEPV4kZTUjg4iejyYljxRRs3Mmzp0+MfywB4mOnRycYQl5MapGgCh9IDABInUq16oKfWLNqvdgKgDZe5bzh+iCVXLJ4xqrROidOnLFl9rbRkhbuWLi7x3AlKIiNmQaDff/+0yDsnr0JB5kV9KVYoDJ7BmN1Q/yPWT0JGigYZCxBwitmBCkIgyxwgmaBzHwZ9MAMW+TWpbu5NkgBgT9/BBhEADDhgu3bddKJG3aBTBsHFNA0C4crL1mFFMZ1Y8YNWztm9B4y06VwXOMJ0wUX/7TXTaEGZujRC3v1D7zf0r6EtfM1XVi9hALPT+bL7LDCz92wl9EEDaRBVRvQiMOcNccwcwEA/8mGmC7C4HeeQAIW1A5B9OyXmGsT2EMaaqo5xBiGsA2WIorZqTibQqlNVA82fUkkUIlb5ajjjjwOdJpCITo0gTATvWIPfj0mqeREf0iSCCFQQmkJI5JE8sUXiURigxE5eDOLCUAwIUItzuSAgwlk7rXkmko26ZEkmEzxgw9HTPGmJIxEVdWeU7nC5p88JkAVBGwM4I8ACbQxVRvCtFVNB2skEMcwzDHXXDFn8OcBYMxsqmJs3VBwoUD1NCYQhRv8Yw93BcXYnkGlgv9HkEISjCMMaK3i6KKQo10UwRoQTEBKOsOww448DqDBjILVrFMNLuGsY800bFAG6LXY/sNbBgmcMQGEFXUza37MsDcqbcz8SAGu5L7ImGCuKnQiBd34tyt/s533okHxbvZiLKnVw9dEuUiwL6ntLHONQxsime3DOwUiscQHJMABBwcYoLEBgRQgSwstyCIyyCJ/HLIsrhgA8coauZkIJpw4gAQSLOihyJuRqMSSSzDJRJNNOKnJ8tAUuXyHHVloUUEVWWTRhR2SKKInn3uyQfTVDuUhySehHCKDE0cA4UIPLpSCCSh5Us3nVVi3/Y8CGaQh9ymnqJFGJnSfEgcea8j/gs4556DzjOB/A274MggMbe1Or7TTUI8HLDKKMsTMko8uACyyyTLOEOOMK2yxYw4aUk0wTjV14SIOLsb4KVBgnAp2oa2ssraYqevaOEG5rdqjQWabNXadYPYwo4x4rQr8IXSp6RKqQwioQcBt1Fc/wAJxCDecKWc04MY24YiTl3MG5bLiQO/9Y3tB5hd/u0IdjtNirhOdiH5Di//D2Gn9snYwasqjSPf29ApgZGMBdIiGOLZBBjkIwB9lAEAvwmGNaDjAbRicCAXY0AYJeAACFqAAABglPmg1xxrUaIUEtiKidJkHNhRQhgtJJBAK/OhEE7iOhZhhIw3QgxlI0ld+//hVIhsWpFTcWJyuJgIACaQhKm5oFC6i0YD8oQh5u3MNa3yxRPPRqC8jUtE4EPILHvbud4+7ETMAxiqB+A9GjSHMGGORocr4TgNp1B+IyMOeAPbIh7/wxZEWsh6D7C6M/8iFMGYDsG4sgxnd+IWAdudIES0DP/YQBmXM54sJAAw9MuShtRppj3rYYxma2R0z4HJKwfxiXALxjkBERBGIMOwV2cijQNwhAStmkGX0+FFB3LEMXwgzP9kQ0j9igchfOvOZ0KyIJ7KUCEQIAgBDQMEKztCHTnRiEJ24ARRUEAKX0AAKJBAHP1TwhBOIQxqJi+bDtJYISSDCFEnAAQ5W8P8KPqDEnjdows5KUBOf1eQEuJCG0OR5rSbVE06I4MQoBvEJUDwpSyoJQgiqUQJ2kiAc1FABDU4QjmmwgqHZcugXxnCHLjQAAGYQAxi6QAg8LaAzZJAABSSQ087gVAJo0AlKGyqJQ3ShC1iwAhWkcAUsdAEMjrgEIzKgtj2xbah/+sMj9kCJSBxBEj1YghIGUYRFaOIRUKmqVbAKKJddYgo8AEIDYhAEDoDCI2lT61SsxlY25UERiGAEYBmhAyHsoBCfUIRiC8EGNLzhsZCN7GPD8IaF9jVJbKDKK3IhwqlUABm5iIMtrCEOdjirWexoi2rFUQ2hXSePrxVII4W5AU3/ztK2QuRXQobUDW4YTzzF64Zwn/cPXRiPGb/ohmAOucz0OBcbE/iFMqzVlwytoRGwiMY89KGPZZAhFauIBjjY0Q94LKO03sDAA2IRAXqgDhfwzYvQYMcf2QGRXZ8ilamuk6FxjKtf70NNds4z3Yn0K7e30wwXFXIAMkAgFsh4xSvQsAYGTMADHkAGBM6gvWFkow1oOIMzUre6Y0hDqP+g7+vSN6ri/eVc9pulMgSSC27wqxtc3Ne77OEL8ZjuVr9w2IHPt2IgOqQNCwBABD4wh+odSgEPAEAUS0ucBBygDd6wVInTAa4Up2/F9i3IZ+wRCyKp0ZCgWZcwLVM/xVCo/40GecU9eFcZPyKYiBRZwAOpZ4AGsCEA1AvAHELHjTDslAz1WEelKihM8HQDf31hsaliiZ4jTjqR6HGYHQUTC/zYL0TKjcUY22NcG1VGV3emH0UicL3dUEUCbaCDP4IjjmBQ4BUFGICi3FEN8b1jhTnS5USQx9AJLMABUqEAML7hjHmYgwJnaJQ0vGGPaKijGcF4BgqpetmHAYBQeKiEKvBhjHkoQwJuSBC0jpEXcVgDHB/w5U6us0Qvp4fMiXHucqcDyhdFGpSj5o9z850ewbxiOnWkF0UkkAFTVIWEJmT3LSwMJF3Uwxft+FEuLu4LTa9LAvht1+uEIR4A61fVd8R+l8gdYnL9MUZXfnQIAB7wAVdfwBZ1eTcrINDl8cDSuJo5l0KU21yHETg+94AzJC/usBPFghv1oEyqK60iZXCxjkvvuL/+8UNPD8gBdjvHPHYRLIqch9iwuVD+fEGPL9KjkCt3D//q/Y9S6Y+496phf1YOI7rPCEP3WMYE6F6RqWDEfPgJUQ8v/Y92zE87Uk+RoynTn99pwJhnVlGLEEyhEZ2nHhp4RSyAV2cbvgKPN9pXpN1WgWMKyYYVkHdPJnD6PwUEADs="
Abertay University,Central,"data:image/jpeg;charset=utf-8;base64,R0lGODlhtAA1APf/ALWoUgBWpMayL8u4RmlmR6mqq2SIW8LDxKFLMusdJLGcQP/OAnt6fLu7vIuLjLWHT93d3qGio5JURf/TAK14TYJ8bTFFbYOCg+3t7sfN22Rod5OKRxg1abKys9ehLlBjkOnp6ouNkP///yQ5k5ubnGFhY3lPSPz8/J2goxRGmc1TNOHh4Xh9hZyeoc3NzpKSlGBFOOXl5lxjegdJlry9v2trbNi1H0tVddnZ2tHR0qytsF1eYERCQ/r6+ltaXPX09cDBxahcRHJydDs5O/j4+KSVi/b29vLy8tTEKUVajdXV1rakmpmTZ0RLWdrn4FJSUzRWk8jJyi0qKzQyM+/w8Ct8TUxKSyUiIylFhY+QkYSFh66ws+XJLXR7maSkp4ODdWpyicV4Q7ardIlhTdrIEP7bAHV1eLW1uO7v8JphSP/iANDQ0YKJoO/DGIF3RmVsgUFKZ2VlZ704IBpEhFVWWR9Em0lRaJSVmDtSh8C3kHt1Xjh6VmRYeMTGyAdAg6OcYDVLhZORjLe4uaWnrIaAZW5ucLW1qiglJoWRiiVXmvfVFdna22l0l8vMzCdOjAdOoYaBU1tZQTtCW+G8Gz9tUnJvadLT1Ofn6Om7Je7u7z48Po6Kb8rKy4tuX9fY2VRbct/e332Ckjk3OGNrl+Li49bX1/LSAn18dOPk5Nrb3JianDIvMSEnMWRnboqHhjY0NqelpmhnXi8tLsfIyM6ZMklOREZGRkBPclBPUXd4e/v7+0hHSVdVVXh2d5iYmUE/Qfv8/PHx8fX29vX19fP09Ovr6/n5+dzb2/f39+Dg4Ozs7Ojo6fPz8/7+/lBOTvn6+vHy8omJit/f2ZGokychHL+/wC0vO0ZWT9TU1aioqX9+fri4udjLp6CfoIaGiENBNufn59zc3f39/Zx7avjbDPv695iTkJadr2loaYqkflVPffDPAM7P0BdRl9XWy87Oz/z7/SsoKZFlTqJ/UjQ4QYuPnYuVsO3p4Vxvn1FbW1hYWbSrqPLDB4KTeyMfIP///yH/C1hNUCBEYXRhWE1QPD94cGFja2V0IGJlZ2luPSLvu78iIGlkPSJXNU0wTXBDZWhpSHpyZVN6TlRjemtjOWQiPz4gPHg6eG1wbWV0YSB4bWxuczp4PSJhZG9iZTpuczptZXRhLyIgeDp4bXB0az0iQWRvYmUgWE1QIENvcmUgNS4zLWMwMTEgNjYuMTQ1NjYxLCAyMDEyLzAyLzA2LTE0OjU2OjI3ICAgICAgICAiPiA8cmRmOlJERiB4bWxuczpyZGY9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkvMDIvMjItcmRmLXN5bnRheC1ucyMiPiA8cmRmOkRlc2NyaXB0aW9uIHJkZjphYm91dD0iIiB4bWxuczp4bXBNTT0iaHR0cDovL25zLmFkb2JlLmNvbS94YXAvMS4wL21tLyIgeG1sbnM6c3RSZWY9Imh0dHA6Ly9ucy5hZG9iZS5jb20veGFwLzEuMC9zVHlwZS9SZXNvdXJjZVJlZiMiIHhtbG5zOnhtcD0iaHR0cDovL25zLmFkb2JlLmNvbS94YXAvMS4wLyIgeG1sbnM6ZGM9Imh0dHA6Ly9wdXJsLm9yZy9kYy9lbGVtZW50cy8xLjEvIiB4bXBNTTpPcmlnaW5hbERvY3VtZW50SUQ9InV1aWQ6MjY0NTBEQkY1NjkxMTFERUFBRUM5OTZGNjgxRDFCOUMiIHhtcE1NOkRvY3VtZW50SUQ9InhtcC5kaWQ6QTBCRDQwREE4QjRBMTFFM0IxRTJDOUM3ODk0ODMyQkYiIHhtcE1NOkluc3RhbmNlSUQ9InhtcC5paWQ6QTBCRDQwRDk4QjRBMTFFM0IxRTJDOUM3ODk0ODMyQkYiIHhtcDpDcmVhdG9yVG9vbD0iQWRvYmUgUGhvdG9zaG9wIENTNCBNYWNpbnRvc2giPiA8eG1wTU06RGVyaXZlZEZyb20gc3RSZWY6aW5zdGFuY2VJRD0ieG1wLmlpZDpGQjdGMTE3NDA3MjA2ODExODhDNjgwQjRFRTEyRDZCMiIgc3RSZWY6ZG9jdW1lbnRJRD0ieG1wLmRpZDowMzgwMTE3NDA3MjA2ODExOTEwOUEwMzVGQkRDM0Q3MSIvPiA8ZGM6dGl0bGU+IDxyZGY6QWx0PiA8cmRmOmxpIHhtbDpsYW5nPSJ4LWRlZmF1bHQiPkNvbG91ciBBYmVydGF5IFVuaSBMb2dvPC9yZGY6bGk+IDwvcmRmOkFsdD4gPC9kYzp0aXRsZT4gPC9yZGY6RGVzY3JpcHRpb24+IDwvcmRmOlJERj4gPC94OnhtcG1ldGE+IDw/eHBhY2tldCBlbmQ9InIiPz4B//79/Pv6+fj39vX08/Lx8O/u7ezr6uno5+bl5OPi4eDf3t3c29rZ2NfW1dTT0tHQz87NzMvKycjHxsXEw8LBwL++vby7urm4t7a1tLOysbCvrq2sq6qpqKempaSjoqGgn56dnJuamZiXlpWUk5KRkI+OjYyLiomIh4aFhIOCgYB/fn18e3p5eHd2dXRzcnFwb25tbGtqaWhnZmVkY2JhYF9eXVxbWllYV1ZVVFNSUVBPTk1MS0pJSEdGRURDQkFAPz49PDs6OTg3NjU0MzIxMC8uLSwrKikoJyYlJCMiISAfHh0cGxoZGBcWFRQTEhEQDw4NDAsKCQgHBgUEAwIBAAAh+QQBAAD/ACwAAAAAtAA1AAAI/wD/CRxIsKDBgwgTKlzIsKHDhxAjSpxIsaLFixgzatzIsaPHjyBDihxJsmREV660qVyp7YIDljBjXoA5s9cZh5ca0PiREFqfA32qYTBJVOQTMyEGhXCwtMUdMz4k3ZhKlaodOg6yZFnqINrSOzMbNtOyaoqghH2GyJoyhUbRtx4ZaKPRR4RdEaCUOgA04pHfOin8pkgBRkSfUaTsNsuAjxgEBw2T+ZusiQjCWTxWTe4Ad+CJzhZDCJKHgMS7NYPSSDjzwsKjAAFmfIBNWwMLRlBCDUKVq0siMKGyNLzjb4gUf7MQngBBRYg/t2+fHfCGCnTFECIkyFlCIhcnBAiMdf9zHaCOGTIAUsCeEercrQ8ytuUpJCOJDBovGDK74o9TCH81NKOQc9AVRcNx1Vk3UTTidBNIB6RYAkEgETSjigWDfTGAOpuk98gMb1DRBQdZ9ONGHmxwAEQqkC0UgT+7/MPJZOAkdEIJ/jQAl2Si9KDgRFrctUwgX0BwVxYWjLDJAI58kQQT6YGIASpepFOFNkyIMQgwSrSYEDK4+LPFP0e84s8dCQEThz+cNYODDi2sUYxCIJTSDQnszEmQOEccwQwV4vxTzAEvlPKPEUTg4I8syvQQTDCBElTMIrCQUA0EQxFkTDDMdEqFEQIRwamnunB0Rx9CiLAPAnJ08oMqLaD/wMEbA8wAJQCOMDGAHzIkJgIiBnxBgAGGlNPlQuz4s0oMAnkzWaYGqemPJcg4O5k/ZpVaEBqqxHOtP6Js4aNA7xxyxXGXFOOtP4VgMIS5/lwxxRVXHNLIQD1EMMW3MHYgoEAXnCsFfzvwpA29UgwcAUcvLOILCUEkkIAc45yqSixM/sFEHbS28wUArcQATCoGbODGNZTs4YQnXiJE3AUDQTDZTQcBgyMN6JyZTTe9TObNvwIt44yyWUTghRaH+KNFpKmUoM9k2fxSSAEkuJCJED7gUu8OcZTgwyIDveiPGTsXEKY/7wxUAA+T+eADA8j804IVaxZXDUfYGRKxCmFM/1xEMxEQAEU6X8gwwCYaAJCEHoRcYsQ0VeyByCZuuOEOiwqhodkyAzVTiD9xICRtPDywM5AuZySto0An5OKPEMl0DkrSOeCrzC+TaaOtQLoYw8kUv2CgSw/GDJTKZFFE+s8w/5VgmUDBfK5KM5/9I444LlyBDjMdMVAAAgmo4EoNEctRhBlNiFGIGQPwwQQTSQAgwydorGAAJYhgkAchG3DDskIF8EfL/qEEWUgBBzXLmSxqRBAROOcQ3PvHLPyBi7gVRGYlUF4mRKEsUBkkB1IYQjAMcgB0aAFoArGEP6wArX+sIV6ZKMiaTNcRH6jAb924QAHSED4YbAAMpxAAHv/qMAMAAAAKf2gcFQRxjDN8ABYreMc9joUQYXCwGss4hhZRAYGneSOB/sjGQfqQtLT9owYC/Eczrne9f/RgF/4AwUAuwUHhHKQRIdQTQoYxDBCAgBmC8IcPRuiZJyiNIIvwBw92t5FOTKwCmdgGCZhRgIilwQK5EKJ6AuAHI84BHagQASlC0QUonIMNVBBBDgZIEBpMhj/fOkTSphDDgkjrAAe5hGZI8I8TWMEfT/DGBYZ5AS1ogwFmupdA6OiPAiAEj0PQI0Ga0QBt7EIT/CoBIQfiykUOhAT+uJtH5JEAQgSjAyZAgCuasQQVIKAEZIDCJmGTgk0oIGTQCMYb7ID/DzvUIxgnsAQrWYcjUTzBCrtAqBUWOpkx2XJNBSJIMIbgDwb8gwhw5Ne3pLAKXi6Tg7i8Yx4NIo4LvHIIcahBIZ62g20K5AhsU+YwRHEFC3YkEuPAAAlqQAEEwEIIfVgCDCCRhDrQZj110MMmmCEMESDjE35ggwiMIIJUhAAhoFCkC3pghK52FRk/0IY/flG9gQAjZyEtCAj21Q3rhUkbpEhGMkBBV7mCAxzEmCMHzWgQaMqxIC86xB1igAFhEKEH7/CHPqhgEB28LlDbOBNIavCDE0RAFUrAxgFC4Ilm1CBJsHkNbR7hBw2gggogIMYZZICGTCzjCO+46kGcVQIR/yDEE5NJK+vW5EyDuCBpaxCIc7SREGYADRwcTM5BXCALUfzVGHHrAe4WVhAgCNKlL03aJf6xgziCZAdfqMQpvnCKGsggFDUAAx3oYYf22gEOcJBEe+Gwi0+UoAQyeMIuKhGLWPD3iwahAvISQgxe+AMdBRHB56RQvIJkQVloEMgB/GELmw6EGbiQBSkGQgWKKuEyh/jFCHsghBroAhjYXN3puhuHYRwEBf4AAgb80YuQ6MEGOJ6EDQjAijmkYAaPSAQUhnyDD7zBB0mAQiLaMYMZpIAD31CADXRsAwUMFMYlWEgDwFU7gpj0EEJg7EC2kTSa/cMYYfKGmF9qUk0A4//CcMQGQvpQnCP8Aw3+OIQ4POcPXnjwH8hwQLyE4GKDoEKR3VXuRwixgAk4egELEIAo5mDUAAxmBizowwWygI86tAM2I7AAAdbR6EcLQIz4ukAJkqYPL9yBEwWJQYnrpgl0NKAYcdjBKq5AAx/EoxsdaICgD9xggUDDwL8ggQ7O0I2nHcISAjlGCXiRNFzEoV0FEQYctQAEsfYWG5OJgyC2EQF9iEIQh5hCDUoAa4LoAkeLsjNIKlBqR09gATawRZOT8IF2jOADKNBCH/CBhTgkIdSRuLe9Ha0AcYaKbYcY2GRgRpBSYNMfCZsMCVYgC3/EQwqWMMKDX5E0TTRAGAb/UcYLkiYFM11BC13+Rw74k3FlJYggOGDbZMxQ7AN0F1zx0AcIkrGKdXGmIErgj0NB8oU2LPzRG5DECEYRAR10wQ/2aEA9PnEDq2PhG6ao96P/4IJpkgICdKVrOGp5OlCgPe3HOMIJ5gqKuAsEHB3oQCmwuy0IbKMDOcCuMd5OVwigoqySasAWPIH4M+OABgUAxWeOcAy6HiOvF4SwSO4ggEaXQQ2fV4MaajEHdWiBGVmQAR1YQIdQXGIx/lDA58vw+UdDAoE/yr1CnDVQjjRAAY0GAAXmMQ8KAGADt7BAISKgjQNYQgf16MI5OCGDWnDhAcMf/gAmwA89sP0fIjCG/2GRQX7yK28YwSg/+YmAwofo4ghUsLDuB4KDpKWCd5kAaEfC4YYJDEACAAiAQaAA+eAH/gQG1dACqQABb8ABMtAEkPAACDAGJgCAJqAIbeAKBUEEEJcw9BIPwXVRT1MvUmAuV2AoEtEA8RAPxDV/ArEGQiAESRMNA7FlsqBiGvEDsUAOHhAEaSAP8jAGKkALBNAOdXADn1APluAFJfAJiYAFdgAAYaACY0AA8hAEEsAFCtBbp8MAO2AL8WIFT4AOECAQPeAAVoALx8EDcRAHGyYRjgU6LigQHQBLWVBWcYhqBIEMxTYRDiAAbRAEYzAGPxgEHgAJjlAHgHAHQuANff/AAHaQAiNwA0gQBoI4iGmQBm2gBzc3EOKgC441BSBwAox0AkRABDmjAyfQeA+xBoVQArAwh9ajBIvwYQRhCbxQAyHIO2fwBDgoETngBphQgUGAhSZACxvgCCkACDJQAHFQAC0gA1AwAzdABmlAjEFQgZMQCAkRh2tWECfgA80ki51xDJPxixKBDgpAAWEAhGFAAQKAiCMgAzvAAthQD2BQCE0wiQJQfO34jg+wAVGQENkwGcxyEMhAB/7gBeQIF7qgGStwEdUQCaLHBQMgeuvAC36QBPXABm9AAzrABsDhCFgge2pADgOgCGpgCs7wZwZRkP6wXQdBBArJkAKRCZz/4AI66SPhIAjacAfVEJEDYQzs4AI5sAZvqAyc8A7v4AKcUAqfoQxR4AJM2Qj3RxCeIAgkoA2+0AcMFDM52Qjh8A8YQAMMEAF/hgPVcAda0AEDCQLvYBlH4ALskAM5IGYQgANAcBzZAAEu0AgbBgKNwJROqQSlcgmNQJXv0AhlKBC5AHz2tgBIsI9gcAscMAjNAAG3MAIN8AF+AAllsHALQAD7oBAwKZMGQZMLqTbfggbg9C2a8Ib/kFXXgmD/8GDf8gpypAr8MgUDkQkhsC+5aWbNAIaTkQsgYCb+oAmc8w+CAEuvxIj+cH8BdC2x+A86B52TwQv/YFLfsgqg0J38/6IJA4EBmsAPkakAm/kB9qADaCACz7AFXaADUDAHtbAOjlYGC6AAQrAQp4kQqmmT/7AC0eALsoAL3nAFDTBXW9Bx6BApxJANEcBBFvUPxxACHOQN3QALxXMMDuAF5vIC2yAQRrAmh6ADOFAKEOALuTUQ1eALZnAFZoALr9AIOAAKpZIDeZYFnuAJyVANvzAFmlAdqNANIbBr0HEAd+It3qADd4JLpeALx1EIO+NiOeALOrBr0eBw/9AAblBqZRAJPjYD5wAMzXAXi/AGgyEJnedomEANnXgQ/zmTNVkQyLAvQ/CNExYPYEMQcFShdOgPFEcQiTWo/0AcPICCA+EFV/+gCRE2EA1KQd8oDs5xnQOBCqIwBbIZA2DIpT+wLzFHEDAWB+2XDFdAqgXRDLywAZAmAE3wGjMABplwF82gA1jwGlgQCaHJD98Qqggxp6lZpxIVL31QEFSATe0mEOLANoAqKPzRp6yjkDdXDAOjqATBAOFEEBGQNHFqBN1lZgOBDr9wc+FwRQQBCsfBpQMBAklTrJ3jHLr1m6LAqm4wB7DKCMFwFyJwDjNAT/TQeZGghwA0Gai5gcJanhh3kAOBDIY0kJ7BrHuCIwAmEErALkBTh7IAAuInDEYwDMIgDgVpqC8iBZjnGc4xBA1AChhQPc0QA2UFARTFpcmQrggRDRT/pDx4JgWMtIfOsAEysEkpkAQucBfEEAr9GgCP4AiR4Aa+4BBiI00E8QxP0wIFkQl5JpQDIQxhokysA7EEEQXg8qj/IFYOKxAvMBn60DX3VQJcg01+Fjbs8jwEUUDX4gxCcAeCULICAbPZOhAz27cGkVWHEDsCsQX+oAOZ4wybSRszwAZnahh4ALQzYA1a8BAdMBmNaRDEYEhceJPxMpYEMQxbSxAn4LUDMQy/cAVHpwyHsAqd+B/mYoL0QnO2QFlwGwc7KxClwAC/cBzXog+7+A98K7M0exDNYAbj+A+6oDViixDBwACSEBixgQcNIAIicrSKaA0RxRAT5g/BSxDL/2AmNPSbeZa5AiG6/sC1vWS63wQ6gQIL/pALBVGQQzoMmXC/91sMP0AEyAA0EXAFO9B+BHEE4dABLaAFk2ELhSa8MXuuxXsQnHAFtsBYKmSoCWEMJNAEgBAYKXAOzbAMScDBt0AH4+sQxTAZnUsQOupdBCFgVwC6p/tL6lu6FWUQHOcPxdAM2PS971Av33dhNMAJZfUicaA8AhFo1EUQB7AvDgcB5uq3xxFSMbAGEaSsOIJLzmG+C/EO6AAHI+AIKJAMOQAGI4AF9HAH4wIRIiBWU6DF/wAC3WWbBEEMhyALUHsC3WWLAwGGFiwQnwOYfUZS3WVHMvQ6u1MAMppyQ/8wBbalKRx0dP8QA2yTrIKiCc/mx1IQr4lkBi9kBRHRIJIACEkwCqMABXAQB2UrERjQcb8QBePSDO9gnAoLaDHACZowBWuACnamCzGACnGgujHAWCCwAmzTC6jQQjLnD87wS+6KdDPYnG/8IvHQbhgADhEgBTUQAyvAEwJBBd2VCwqbCcRhCyNkDMswC7twBToADhHEDHCEuAImBX/VOb/kLeD6EKTQC3CQAlhABxEgtxQxCxwETFoQAj7AH4fQzAJBAxGXNPECM0rgu/RyCBdwBLIAnVegD334DEMzVi5JEB1gJlNQAlngOhhHXQ4UcfxBL0mMAbtQAmj0BA6gBfz/IQty9g/VMAT0Ei+HUKHN4DqHEAK/RMggPRlTwHcP0QjokAXzfBHKkAW74LuHEEwwPBBAsAqiwAM8kKmQgQOa8ApaLQqr4ADMsMi/wAO3jLsFAaS/AMkHAQrRMATrwgMMYK0MsApDwANBugp6SAVx4A0/kAXKuQpCUHYC0Qe/kNU8MASrMLGZUAP7cggOIH/d3HFNK4vBkAzvwAmgQNmsQwU/ENo/cASl0gzMQAyiTQXFYwSoHdpHANADgQbNmxBosAh9UArQkJrBINo/QAWMZAQRlAlRkANfqaynHdrEEAw7mwp9EJ4IAQIGVNUNOd3Ura01XN3Y3ZDiYAziYAmaKaHH2R3euvcOvLADHUeD4p3euccJSRMPDNCH6h3fbxGhWCqb8n3fshgQADs="
